,lstm_forecast,lstm_ci_low,lstm_ci_high
2026-05-01,207.7311,191.94003337484185,239.19048896843708
2026-05-04,207.70605,189.6525834986985,231.81406447246422
2026-05-05,207.68149,195.22018623327506,224.19669744026857
2026-05-06,207.65741,194.75723707537662,234.48826642146196
2026-05-07,207.63383,190.5607097344434,230.15816060614108
2026-05-08,207.61075,193.6779545173801,228.65543433685676
2026-05-11,207.5881,188.51710031283537,227.70376849363348
2026-05-12,207.56593,194.6392276332223,228.7172859475475
2026-05-13,207.54422,195.15477533569748,228.60280840451338
2026-05-14,207.52293,195.45055168176341,232.03196310438352
2026-05-15,207.50206,194.75921949590764,237.43838338382886
2026-05-18,207.48163,193.88915952257307,239.0690503199948
2026-05-19,207.4616,191.95949404882023,232.431739801705
2026-05-20,207.44196,197.22215041520855,227.47412969942724
2026-05-21,207.42273,191.5216248476613,228.6458647888412
2026-05-22,207.40385,194.98723819287045,224.3766730480844
2026-05-25,207.3854,190.31372961539066,224.8831706706732
2026-05-26,207.36732,193.73101436737423,228.06876373782356
2026-05-27,207.3496,194.482993847934,227.46588445453622
2026-05-28,207.33221,194.98412111201887,224.94903821106266
2026-05-29,207.31519,192.59722263742398,231.80162311411894
2026-06-01,207.2985,192.50252121829755,235.11956790760732
2026-06-02,207.28217,192.4831267244198,227.4432098684076
2026-06-03,207.26614,190.2049706300952,223.48688908154932
2026-06-04,207.25046,194.22945030016226,225.24172982908823
2026-06-05,207.2351,194.21479563278217,231.81861289370318
2026-06-08,207.22002,194.88974017853175,233.01180636530222
2026-06-09,207.20528,198.18348983916792,227.51714143926432
2026-06-10,207.19078,195.4065023001419,233.23122475052205
2026-06-11,207.17664,191.7402625852334,234.9197173104347
2026-06-12,207.16275,194.36317802206653,243.3887445840242
2026-06-15,207.14912,192.52041956523075,231.7507666610769
2026-06-16,207.13579,192.9943971953906,231.78461219645678
2026-06-17,207.12273,189.05806915292501,226.21444164180934
2026-06-18,207.10992,191.209098900562,228.9498253688841
2026-06-19,207.09737,193.91239677077138,221.81902719146228
2026-06-22,207.08508,189.15339880762636,228.61494371054513
2026-06-23,207.07301,194.87523474825736,225.39526586853643
2026-06-24,207.06125,193.1101816234077,224.28650551042392
2026-06-25,207.04967,194.79325393072048,220.36082850332906
2026-06-26,207.03835,187.39168589890838,225.07391052601594
2026-06-29,207.0272,193.61447549288164,222.96204478774803
2026-06-30,207.01636,197.77666646001407,233.86871219639406
2026-07-01,207.00566,194.0348492785669,228.17975589974878
2026-07-02,206.99518,192.12666025185416,228.91597465727253
2026-07-03,206.98492,186.80167340717205,234.0532643795475
2026-07-06,206.9749,197.73271067137222,231.13693180353988
2026-07-07,206.96509,193.37261844187168,231.16781062883996
2026-07-08,206.95544,194.30123562285186,228.39283660259449
2026-07-09,206.94598,188.9669227157928,227.11330566928552
2026-07-10,206.93672,192.08599595212812,234.71144592843947
2026-07-13,206.92764,188.9591936846612,224.7889108672111
2026-07-14,206.91878,195.13502417672794,226.2129212320681
2026-07-15,206.91005,191.17657321126907,224.08842687136823
2026-07-16,206.90146,189.41033546995524,225.0419857355809
2026-07-17,206.8931,193.2789703780643,225.90200435781108
